Transaction_ID,Date,Business_Unit,Region,Cost_Category,Product_Service,Revenue,Expense,Profit,Month,Quarter,Year,Profit_Margin
TXN-102499,2023-01-01,Hardware,Europe,Logistics,Hardware - Product 1,82835.02,83457.2,-622.18,1,1,2023,-0.0075
TXN-104361,2023-01-01,Hardware,Latin America,Marketing,Hardware - Product 1,47674.35,46554.14,1120.21,1,1,2023,0.0235
TXN-103390,2023-01-01,Enterprise Software,Asia Pacific,Operations,Enterprise Software - Product 3,76630.64,82012.06,-5381.42,1,1,2023,-0.0702
TXN-104818,2023-01-01,Enterprise Software,Asia Pacific,Operations,Enterprise Software - Product 4,66391.08,42230.72,24160.36,1,1,2023,0.3639
TXN-102997,2023-01-01,Retail,Europe,Operations,Retail - Product 2,34872.08,23550.47,11321.61,1,1,2023,0.3247
TXN-100021,2023-01-01,Cloud Infrastructure,Asia Pacific,R&D,Cloud Infrastructure - Product 3,23505.81,17768.76,5737.05,1,1,2023,0.2441
TXN-104896,2023-01-01,Cloud Infrastructure,Asia Pacific,Logistics,Cloud Infrastructure - Product 3,170645.13,110473.71,60171.42,1,1,2023,0.3526
TXN-102151,2023-01-01,Cloud Infrastructure,North America,R&D,Cloud Infrastructure - Product 2,45984.0,65648.44,-19664.44,1,1,2023,-0.4276
TXN-100123,2023-01-02,Cloud Infrastructure,Latin America,R&D,Cloud Infrastructure - Product 4,29756.74,30569.1,-812.36,1,1,2023,-0.0273
TXN-104059,2023-01-02,Consulting Services,Asia Pacific,Operations,Consulting Services - Product 4,91589.61,55666.21,35923.4,1,1,2023,0.3922
TXN-103095,2023-01-02,Enterprise Software,Latin America,Operations,Enterprise Software - Product 4,18802.93,20013.35,-1210.42,1,1,2023,-0.0644
TXN-102894,2023-01-02,Enterprise Software,Latin America,Software Licenses,Enterprise Software - Product 5,90622.09,87567.93,3054.16,1,1,2023,0.0337
TXN-102792,2023-01-02,Hardware,North America,Marketing,Hardware - Product 2,102629.72,66184.65,36445.07,1,1,2023,0.3551
TXN-101793,2023-01-02,Cloud Infrastructure,Latin America,Marketing,Cloud Infrastructure - Product 2,136203.91,145350.28,-9146.37,1,1,2023,-0.0672
TXN-103381,2023-01-03,Hardware,North America,Logistics,Hardware - Product 1,79982.09,49060.39,30921.7,1,1,2023,0.3866
TXN-104177,2023-01-03,Hardware,North America,Real Estate,Hardware - Product 5,66555.99,62826.44,3729.55,1,1,2023,0.056
TXN-101439,2023-01-03,Enterprise Software,Europe,Salaries,Enterprise Software - Product 4,40775.38,45290.96,-4515.58,1,1,2023,-0.1107
TXN-102701,2023-01-03,Retail,North America,Logistics,Retail - Product 4,28490.97,24878.73,3612.24,1,1,2023,0.1268
TXN-100443,2023-01-03,Retail,North America,Operations,Retail - Product 2,7069.17,6585.74,483.43,1,1,2023,0.0684
TXN-103340,2023-01-04,Cloud Infrastructure,Asia Pacific,Operations,Cloud Infrastructure - Product 3,110154.77,104390.4,5764.37,1,1,2023,0.0523
TXN-100049,2023-01-04,Consulting Services,Europe,Logistics,Consulting Services - Product 4,98181.82,103390.45,-5208.63,1,1,2023,-0.0531
TXN-101048,2023-01-04,Hardware,Europe,Logistics,Hardware - Product 1,46874.1,37710.89,9163.21,1,1,2023,0.1955
TXN-100892,2023-01-04,Cloud Infrastructure,Latin America,R&D,Cloud Infrastructure - Product 1,98490.38,79624.07,18866.31,1,1,2023,0.1916
TXN-103503,2023-01-04,Enterprise Software,Asia Pacific,Marketing,Enterprise Software - Product 3,54991.33,36924.35,18066.98,1,1,2023,0.3285
TXN-102070,2023-01-04,Hardware,Europe,Operations,Hardware - Product 3,18124.85,19979.98,-1855.13,1,1,2023,-0.1024
TXN-104507,2023-01-05,Retail,Asia Pacific,Salaries,Retail - Product 3,40495.05,42583.62,-2088.57,1,1,2023,-0.0516
TXN-103882,2023-01-05,Cloud Infrastructure,Europe,Salaries,Cloud Infrastructure - Product 4,68558.55,56676.48,11882.07,1,1,2023,0.1733
TXN-104968,2023-01-05,Cloud Infrastructure,Latin America,Software Licenses,Cloud Infrastructure - Product 5,81259.71,68661.88,12597.83,1,1,2023,0.155
TXN-103711,2023-01-06,Retail,Latin America,R&D,Retail - Product 1,29367.29,37786.47,-8419.18,1,1,2023,-0.2867
TXN-101381,2023-01-06,Consulting Services,Europe,R&D,Consulting Services - Product 1,41907.91,54702.56,-12794.65,1,1,2023,-0.3053
TXN-102393,2023-01-06,Consulting Services,Asia Pacific,Real Estate,Consulting Services - Product 4,67939.97,55813.6,12126.37,1,1,2023,0.1785
TXN-101582,2023-01-06,Hardware,Asia Pacific,Logistics,Hardware - Product 2,106337.38,119104.12,-12766.74,1,1,2023,-0.1201
TXN-102735,2023-01-06,Retail,North America,R&D,Retail - Product 2,28407.68,20916.57,7491.11,1,1,2023,0.2637
TXN-102530,2023-01-06,Consulting Services,Asia Pacific,R&D,Consulting Services - Product 5,13041.04,16436.77,-3395.73,1,1,2023,-0.2604
TXN-103372,2023-01-06,Hardware,Latin America,Logistics,Hardware - Product 1,42996.42,43724.07,-727.65,1,1,2023,-0.0169
TXN-104827,2023-01-06,Retail,North America,Marketing,Retail - Product 5,32144.37,31134.45,1009.92,1,1,2023,0.0314
TXN-103418,2023-01-07,Consulting Services,Europe,Real Estate,Consulting Services - Product 1,94543.89,80886.88,13657.01,1,1,2023,0.1445
TXN-100344,2023-01-07,Hardware,Europe,Real Estate,Hardware - Product 2,83453.94,92568.72,-9114.78,1,1,2023,-0.1092
TXN-100186,2023-01-07,Enterprise Software,Europe,Software Licenses,Enterprise Software - Product 1,121031.78,134133.32,-13101.54,1,1,2023,-0.1082
TXN-102669,2023-01-07,Cloud Infrastructure,North America,Marketing,Cloud Infrastructure - Product 4,105425.36,88582.37,16842.99,1,1,2023,0.1598
TXN-102534,2023-01-07,Enterprise Software,Asia Pacific,Real Estate,Enterprise Software - Product 2,98661.96,69729.43,28932.53,1,1,2023,0.2932
TXN-102521,2023-01-07,Consulting Services,Asia Pacific,Operations,Consulting Services - Product 5,31150.89,26211.81,4939.08,1,1,2023,0.1586
